sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-29T21:40:39.161+0200,21.05206637,42.707054,18.66
2017-05-29T21:40:40.347+0200,21.05205706,42.70705149,19.32
2017-05-29T21:40:41.533+0200,21.05204047,42.70704746,19.04
2017-05-29T21:40:42.672+0200,21.05202579,42.70704382,18.85
2017-05-29T21:40:43.847+0200,21.0520103,42.70704057,18.85
2017-05-29T21:40:45.014+0200,21.0519998,42.7070377,18.94
2017-05-29T21:40:46.188+0200,21.05195758,42.70702396,18.12
2017-05-29T21:40:47.382+0200,21.05194891,42.70702308,17.58
2017-05-29T21:40:48.487+0200,21.05193547,42.70701752,18.03
2017-05-29T21:40:49.660+0200,21.05191342,42.7070066,18.66
2017-05-29T21:40:50.839+0200,21.05190355,42.70700393,19.51
2017-05-29T21:40:52.047+0200,21.05187991,42.70699461,18.85
2017-05-29T21:40:53.232+0200,21.05187338,42.70698611,18.85
2017-05-29T21:40:54.342+0200,21.05186588,42.70697798,19.61
2017-05-29T21:40:55.526+0200,21.05185849,42.706971,19.23
2017-05-29T21:40:56.674+0200,21.05184743,42.70697459,19.71
2017-05-29T21:40:57.829+0200,21.05183667,42.7069644,19.91
2017-05-29T21:40:59.079+0200,21.05181279,42.70695276,19.81
2017-05-29T21:41:00.176+0200,21.05180297,42.70694857,20.2
2017-05-29T21:41:01.334+0200,21.05178901,42.70694099,20.2
2017-05-29T21:41:02.504+0200,21.05177767,42.70693321,19.32
2017-05-29T21:41:03.646+0200,21.05176418,42.70692455,18.94
2017-05-29T21:41:04.929+0200,21.05175021,42.70691685,18.48
2017-05-29T21:41:05.988+0200,21.05173847,42.70690897,18.85
2017-05-29T21:41:07.169+0200,21.05171256,42.70690248,18.48
2017-05-29T21:41:08.348+0200,21.05170264,42.70689623,18.21
2017-05-29T21:41:09.516+0200,21.05169492,42.70689801,17.07
2017-05-29T21:41:10.779+0200,21.05168701,42.70689585,16.73
2017-05-29T21:41:11.936+0200,21.05167407,42.70688929,16.31
2017-05-29T21:41:12.999+0200,21.0516576,42.70688256,16.15
2017-05-29T21:41:14.222+0200,21.05163529,42.70687221,15.74
2017-05-29T21:41:15.341+0200,21.0516201,42.7068669,15.42
2017-05-29T21:41:16.629+0200,21.05161075,42.70686313,15.18
2017-05-29T21:41:17.659+0200,21.05159103,42.70686133,16.39
2017-05-29T21:41:18.837+0200,21.05157659,42.70685732,16.73
2017-05-29T21:41:20.021+0200,21.05156426,42.70685219,16.98
2017-05-29T21:41:21.178+0200,21.05154734,42.70684528,17.67
2017-05-29T21:41:22.294+0200,21.05153589,42.70683779,16.9
2017-05-29T21:41:23.514+0200,21.05152345,42.70683288,16.56
2017-05-29T21:41:24.636+0200,21.05151188,42.70682942,16.64
2017-05-29T21:41:25.823+0200,21.05149849,42.70681968,15.9
2017-05-29T21:41:26.998+0200,21.05148373,42.70681204,16.48
2017-05-29T21:41:28.163+0200,21.05146051,42.70680027,16.81
2017-05-29T21:41:29.341+0200,21.05144762,42.70679507,16.56
2017-05-29T21:41:30.497+0200,21.05143364,42.70679052,17.41
2017-05-29T21:41:31.664+0200,21.05142213,42.70678776,16.9
2017-05-29T21:41:32.824+0200,21.05141156,42.70678497,16.64
2017-05-29T21:41:33.973+0200,21.05139968,42.7067828,16.23
2017-05-29T21:41:35.152+0200,21.051377,42.70678154,15.98
2017-05-29T21:41:36.294+0200,21.05136387,42.70677852,16.07
2017-05-29T21:41:37.494+0200,21.05135222,42.70677651,16.07
2017-05-29T21:41:38.654+0200,21.0513368,42.70677259,16.15
2017-05-29T21:41:39.843+0200,21.05132441,42.70677431,15.82
2017-05-29T21:41:41.020+0200,21.05131265,42.70677669,15.74
2017-05-29T21:41:42.259+0200,21.05129528,42.70678284,15.66
2017-05-29T21:41:43.287+0200,21.05128694,42.7067891,15.98
2017-05-29T21:41:44.492+0200,21.05128334,42.70680392,15.82
2017-05-29T21:41:45.644+0200,21.05128319,42.70681616,16.39
2017-05-29T21:41:46.802+0200,21.05128683,42.70683269,16.07
2017-05-29T21:41:47.992+0200,21.05127682,42.70683684,16.48
2017-05-29T21:41:49.203+0200,21.05126471,42.70685351,16.07
2017-05-29T21:41:50.298+0200,21.05125778,42.70686251,15.82
2017-05-29T21:41:51.462+0200,21.051252,42.70686937,15.58
2017-05-29T21:41:52.632+0200,21.05124587,42.70687822,14.95
2017-05-29T21:41:53.813+0200,21.05124144,42.70688855,14.18
2017-05-29T21:41:54.983+0200,21.05123454,42.7068949,14.56
2017-05-29T21:41:56.131+0200,21.0512121,42.70691185,14.33
2017-05-29T21:41:57.286+0200,21.05120808,42.70691811,15.26
2017-05-29T21:41:58.493+0200,21.05120771,42.70692671,15.5
2017-05-29T21:41:59.632+0200,21.05120543,42.70693453,15.42
2017-05-29T21:42:00.827+0200,21.05119874,42.70694157,15.9
2017-05-29T21:42:02.005+0200,21.05119311,42.70694915,15.98
2017-05-29T21:42:03.150+0200,21.05118108,42.70696653,16.31
2017-05-29T21:42:04.315+0200,21.05117914,42.70697199,17.15
2017-05-29T21:42:05.483+0200,21.05117981,42.70698094,16.9
2017-05-29T21:42:06.635+0200,21.05117196,42.70698627,16.15
